Engelse naam;;Soort (NL);Latijnse naam;Nederlandse naam;Soss.;Swak.;Etosh;Caprivi;Chobe;Bijz.
Wandering Albatross;Albatross;Albatrossen;Diomedea exulans;Grote Albatros;Soms;Soms;;;;
Yellow-nosed Albatross;Albatross;Albatrossen;Thalassarche chlororhynchos;Geelbekalbatros;Vaak;Vaak;;;;
Grey-headed Albatross;Albatross;Albatrossen;Thalassarche chrysostoma;Grijskopalbatros;;;;;;In gevaar
Black-browed Albatross;Albatross;Albatrossen;Thalassarche melanophris;Wenkbrauwalbatros;Vaak;Vaak;;;;
White-capped Albatross;Albatross;Albatrossen;Thalassarche cauta;Witkapalbatros;Soms;Soms;;;;
European Storm-petrel;Storm-petrel;Stormvogels;Hydrobates pelagicus;Stormvogeltje;Soms;Soms;;;;
Madeiran Storm-petrel;Storm-petrel;Stormvogels;Hydrobates castro;Madeirastormvogeltje;;;;;;Zeldzaam/Dwaalgast 
Leach's Storm-petrel;Storm-petrel;Stormvogels;Hydrobates leucorhous;Vaal Stormvogeltje;Zelden;Zelden;;;;Kwetsbaar
Northern Giant Petrel;Petrel/Shearwaters;Stormvogels;Macronectes halli;Noordelijke Reuzenstormvogel;Vaak;Vaak;;;;
Southern Giant Petrel;Petrel/Shearwaters;Stormvogels;Macronectes giganteus;Zuidelijke Reuzenstormvogel;Soms;Soms;;;;
Southern Fulmar;Petrel/Shearwaters;Stormvogels;Fulmarus glacialoides;Grijze Stormvogel;;;;;;Zeldzaam/Dwaalgast 
Cape Petrel;Petrel/Shearwaters;Stormvogels;Daption capense;Kaapse Stormvogel;Vaak;Vaak;;;;
Antarctic Prion;Petrel/Shearwaters;Stormvogels;Pachyptila desolata;Antarctische Prion;Soms;Soms;;;;
Fairy Prion;Petrel/Shearwaters;Stormvogels;Pachyptila turtur;Duifprion;Soms;Soms;;;;Zeldzaam/Dwaalgast 
Barau's Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma baraui;Baraus Stormvogel;;;;;;In gevaar
Soft-plumaged Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma mollis;Donsstormvogel;Soms;Soms;;;;
Atlantic Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma incerta;Schlegels Stormvogel;;;;;;In gevaar
Great-winged Petrel;Petrel/Shearwaters;Stormvogels;Pterodroma macroptera;Langvleugelstormvogel;Soms;Soms;;;;
White-chinned Petrel;Petrel/Shearwaters;Stormvogels;Procellaria aequinoctialis;Witkinstormvogel;Vaak;Vaak;;;;Kwetsbaar
Spectacled Petrel;Petrel/Shearwaters;Stormvogels;Procellaria conspicillata;Brilstormvogel;;;;;;Kwetsbaar
Sooty Shearwater;Petrel/Shearwaters;Stormvogels;Ardenna grisea;Grauwe Pijlstormvogel;Vaak;Vaak;;;;Bijna uitgestorven
Great Shearwater;Petrel/Shearwaters;Stormvogels;Ardenna gravis;Grote Pijlstormvogel;Soms;Soms;;;;
Scopoli's Shearwater;Petrel/Shearwaters;Stormvogels;Calonectris diomedea;Scopoli's Pijlstormvogel;Soms;Soms;;;;
Cory's Shearwater;Petrel/Shearwaters;Stormvogels;Calonectris borealis;Kuhls Pijlstormvogel;;;;;;
Manx Shearwater;Petrel/Shearwaters;Stormvogels;Puffinus puffinus;Noordse Pijlstormvogel;;;;;;
Bulwer's Petrel;Petrel/Shearwaters;Stormvogels;Bulweria bulwerii;Bulwers Stormvogel;;;;;;Zeldzaam/Dwaalgast 
Marabou;Storks;Ooievaars;Leptoptilos crumenifer;Afrikaanse Maraboe;;;Soms;Soms;Soms;
Yellow-billed Stork;Storks;Ooievaars;Mycteria ibis;Afrikaanse Nimmerzat;Zelden;;;Zelden;Soms;
African Openbill;Storks;Ooievaars;Anastomus lamelligerus;Afrikaanse Gaper;;;Zelden;Zelden;Zelden;
Black Stork;Storks;Ooievaars;Ciconia nigra;Zwarte Ooievaar;Zelden;Zelden;Zelden;Zelden;Zelden;
Abdim's Stork;Storks;Ooievaars;Ciconia abdimii;Abdims Ooievaar;;;Soms;Soms;Soms;
Woolly-necked Stork;Storks;Ooievaars;Ciconia episcopus;Bisschopsooievaar;;Zelden;Zelden;Zelden;Zelden;
European White Stork;Storks;Ooievaars;Ciconia ciconia;Ooievaar;Vaak;Vaak;Vaak;Vaak;Vaak;
Saddle-bill Stork;Storks;Ooievaars;Ephippiorhynchus senegalensis;Zadelbekooievaar;;;Zelden;Zelden;Zelden;
Great White Pelican;Pelican;Pelikanen;Pelecanus onocrotalus;Roze Pelikaan;Soms;Soms;Soms;Soms;Soms;
Pink-backed Pelican;Pelican;Pelikanen;Pelecanus rufescens;Kleine Pelikaan;;;;Soms;Soms;
Hamerkop;Hamerkop;Hamerkoppen;Scopus umbretta;Hamerkop;Vaak;Vaak;Vaak;Vaak;Vaak;
Eurasian Bittern;Bittern/Heron;Reigers;Botaurus stellaris;Roerdomp;;;;;Zelden;
Little Bittern;Bittern/Heron;Reigers;Ixobrychus minutus;Woudaap;;Zelden;Zelden;Zelden;Zelden;
Dwarf Bittern;Bittern/Heron;Reigers;Ixobrychus sturmii;Afrikaanse Woudaap;;;Zelden;Zelden;Zelden;
White-backed Night Heron;Bittern/Heron;Reigers;Gorsachius leuconotus;Witrugkwak;;;;Zelden;Zelden;
Black-crowned Night Heron;Bittern/Heron;Reigers;Nycticorax nycticorax;Kwak;;;Soms;Soms;Soms;
Striated Heron;Bittern/Heron;Reigers;Butorides striata;Mangrovereiger;;;Soms;Soms;Soms;
Squacco Heron;Bittern/Heron;Reigers;Ardeola ralloides;Ralreiger;;Soms;Soms;Soms;Soms;
Rufous-bellied Heron;Bittern/Heron;Reigers;Ardeola rufiventris;Roodbuikreiger;;;Zelden;Soms;Soms;
Cattle Egret;Bittern/Heron;Reigers;Bubulcus ibis;Koereiger;;Vaak;Vaak;Vaak;Vaak;
Grey Heron;Bittern/Heron;Reigers;Ardea cinerea;Blauwe Reiger;Soms;Soms;Soms;Soms;Soms;
Black-headed Heron;Bittern/Heron;Reigers;Ardea melanocephala;Zwartkopreiger;Vaak;Vaak;Vaak;Vaak;Vaak;
Goliath Heron;Bittern/Heron;Reigers;Ardea goliath;Reuzenreiger;;;Soms;Soms;Soms;
Purple Heron;Bittern/Heron;Reigers;Ardea purpurea;Purperreiger;;;Soms;Soms;Soms;
Great Egret;Bittern/Heron;Reigers;Ardea alba;Grote Zilverreiger;;;Soms;Soms;Soms;
Intermediate Egret;Bittern/Heron;Reigers;Ardea intermedia;Middelste Zilverreiger;;;Soms;Soms;Soms;
Black Heron;Bittern/Heron;Reigers;Egretta ardesiaca;Zwarte Reiger;;;Soms;Soms;Soms;
Slaty Egret;Bittern/Heron;Reigers;Egretta vinaceigula;Sharpes Reiger;;;;Zelden;Zelden;Kwetsbaar
Little Egret;Bittern/Heron;Reigers;Egretta garzetta;Kleine Zilverreiger;Soms;Soms;Soms;Soms;Soms;
African Sacred Ibis;Ibis;Ibissen;Threskiornis aethiopicus;Heilige Ibis;;;Vaak;Vaak;Vaak;
African Spoonbill;Ibis;Ibissen;Platalea alba;Afrikaanse Lepelaar;;;Soms;Soms;Soms;
